表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
貸借対照表,B/S・企業の財政状態,企業の一定時点における資産・負債・純資産の状態を表す財務諸表,バランスシート,資産＝負債＋純資産,企業の財政状態を一定時点で切り取って表示した財務諸表。左側に資産、右側に負債と純資産を記載し、両側の合計が一致する
損益計算書,P/L・企業の経営成績,一定期間の収益と費用を対比して利益を計算する財務諸表,P/L（Profit and Loss Statement）,収益－費用＝利益,企業の一定期間における経営成績を表す財務諸表。売上高から各種費用を差し引いて当期純利益を算出する
キャッシュフロー計算書,C/F・現金の流れ,企業の一定期間における現金及び現金同等物の増減を表す財務諸表,キャッシュフロー計算書,営業・投資・財務の3区分,現金の流入と流出を営業活動・投資活動・財務活動の3つに区分して表示する財務諸表
流動資産,1年以内に現金化,1年以内に現金化される予定の資産,流動資産,現金・売掛金・棚卸資産など,正常営業循環基準または1年基準により、短期間で現金化・費用化される資産。流動比率の分子として使用
固定資産,長期間使用・保有,1年を超えて使用または保有する資産,固定資産,建物・機械・土地など,企業が長期間にわたって事業のために使用・保有する資産。有形・無形・投資その他の資産に分類される
流動負債,1年以内に支払い,1年以内に支払期限が到来する負債,流動負債,買掛金・短期借入金など,正常営業循環基準または1年基準により、短期間で支払義務が生じる負債。流動比率の分母として使用
固定負債,長期の支払義務,支払期限が1年を超える負債,固定負債,社債・長期借入金など,返済期限が1年を超える長期的な負債。企業の長期的な資金調達源
純資産,資産－負債,資産から負債を差し引いた差額で、株主に帰属する部分,自己資本・株主資本,株主からの出資と利益の蓄積,企業の正味の財産。資本金、資本剰余金、利益剰余金などで構成される
売上高,営業収益・収入,企業の主たる営業活動から得られる収益,売上高・売上収益,商品・サービスの対価,企業が本業で稼いだ収益の総額。損益計算書の最上段に記載される
売上原価,売れた商品の仕入値,売上高に対応する商品・製品の原価,売上原価・COGS,期首在庫＋仕入－期末在庫,販売された商品や製品を取得・製造するのにかかった直接的な費用
売上総利益,粗利益・粗利,売上高から売上原価を差し引いた利益,粗利益・グロスマージン,売上高－売上原価,商品やサービスの販売で得られる基本的な利益。企業の収益性の基本指標
営業利益,本業の利益,売上総利益から販売費及び一般管理費を差し引いた利益,営業利益,売上総利益－販管費,企業の本業から生み出される利益。企業の収益力を測る重要な指標
経常利益,通常の企業活動の利益,営業利益に営業外収益を加え、営業外費用を差し引いた利益,経常利益,営業利益＋営業外損益,企業の通常の事業活動から得られる利益。金融収支なども含む
当期純利益,最終利益,税引前当期純利益から法人税等を差し引いた最終的な利益,当期純利益・純利益,税引前利益－法人税等,企業の一定期間における最終的な利益。株主への配当原資となる
減価償却費,固定資産の費用配分,固定資産の取得原価を使用期間に配分する会計処理,減価償却,定額法・定率法など,有形固定資産の価値減少を費用として計上する会計処理。キャッシュアウトを伴わない費用
ROE,自己資本利益率,当期純利益÷自己資本×100で計算される収益性指標,株主資本利益率,株主資本の効率性,株主が投資した資本に対してどれだけの利益を生み出したかを示す指標
ROA,総資産利益率,当期純利益÷総資産×100で計算される収益性指標,総資産利益率,資産の効率的活用,企業が保有する総資産をどれだけ効率的に活用して利益を生み出したかを示す指標
流動比率,短期支払能力,流動資産÷流動負債×100で計算される安全性指標,流動比率,200%以上が理想,企業の短期的な支払能力を示す指標。100%を下回ると資金繰りに注意が必要
自己資本比率,財務の健全性,自己資本÷総資産×100で計算される安全性指標,自己資本比率,高いほど安定,総資産に占める自己資本の割合。企業の財務的な安定性を示す重要指標
棚卸資産回転率,在庫の効率性,売上原価÷棚卸資産で計算される効率性指標,在庫回転率,高いほど効率的,在庫がどれだけ効率的に販売されているかを示す指標。回転率が高いほど在庫管理が良好
売上債権回転率,債権回収の効率,売上高÷売上債権で計算される効率性指標,売上債権回転率,回収サイクルの速さ,売掛金などの売上債権がどれだけ効率的に回収されているかを示す指標
損益分岐点,利益ゼロの売上高,売上高と総費用が等しくなる点,ブレークイーブンポイント,固定費÷(1－変動費率),利益も損失も出ない売上高。これを超えると利益が発生する
固定費,売上に関係ない費用,売上高の増減に関わらず一定額発生する費用,固定費,家賃・人件費・減価償却費など,生産量や売上高に関係なく一定額発生する費用。損益分岐点分析の重要要素
変動費,売上に比例する費用,売上高に比例して増減する費用,変動費,材料費・仕入原価など,生産量や売上高に比例して増減する費用。限界利益の計算に使用
限界利益,売上高－変動費,売上高から変動費を差し引いた利益,限界利益・貢献利益,固定費回収と利益の源泉,売上が1単位増加したときに増える利益。固定費を回収した後が営業利益となる
原価計算,製品原価の算定,製品やサービスの原価を計算する手法,原価計算,標準・実際・直接原価計算,製造業において製品1個あたりの原価を算出する計算手法。価格設定や収益性分析に使用
標準原価,あるべき原価,事前に設定された目標となる原価,標準原価,原価管理の基準,あらかじめ設定された標準的な原価。実際原価との差異分析により原価管理を行う
実際原価,実際にかかった原価,実際に発生した原価,実際原価,標準原価との差異分析,実際の生産活動で発生した原価。標準原価と比較して原価差異を分析する
直接原価計算,変動費のみで計算,変動費のみを製品原価とする原価計算方式,直接原価計算,CVP分析に有用,固定費を期間費用として処理し、変動費のみを製品原価とする計算方式
全部原価計算,固定費も含めて計算,固定費と変動費の両方を製品原価に含める原価計算方式,全部原価計算・フルコスト,財務会計で使用,製造にかかるすべての費用を製品原価に配賦する伝統的な原価計算方式
ABC原価計算,活動基準原価計算,活動ごとにコストを集計し製品に配賦する原価計算,活動基準原価計算,間接費の正確な配賦,活動（アクティビティ）を基準として間接費を製品に配賦する精緻な原価計算手法
