表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
CPU,中央処理装置,コンピュータの中心となる演算・制御装置,Central Processing Unit,プロセッサ,命令の解釈・実行を行う。制御装置と演算装置で構成
ALU,演算装置,四則演算や論理演算を行う装置,Arithmetic Logic Unit,算術論理演算装置,加減乗除・AND・OR・NOTなどの演算を実行
制御装置,命令実行制御,命令の取り出しと実行を制御する装置,Control Unit・CU,フェッチ・デコード・実行,プログラムカウンタやデコーダを含む
レジスタ,高速記憶装置,CPU内部の高速な記憶装置,Register,汎用・特殊レジスタ,プログラムカウンタ・アキュムレータなど
プログラムカウンタ,次命令アドレス,次に実行する命令のアドレスを保持,PC・Program Counter,命令ポインタ,命令実行後に自動的にインクリメント
キャッシュメモリ,高速緩衝記憶,CPUと主記憶の速度差を埋める高速メモリ,Cache Memory,L1・L2・L3,局所参照性を利用。ヒット率が性能に影響
主記憶装置,メインメモリ,プログラムやデータを格納する記憶装置,Main Memory・RAM,揮発性メモリ,電源を切ると内容が消える。DRAM・SRAMがある
仮想記憶,見かけ上の拡張,主記憶を見かけ上拡張する技術,Virtual Memory,ページング・セグメンテーション,補助記憶装置を利用して大容量化
ページング,固定長分割,メモリを固定長のページに分割する方式,Paging,ページフォルト,ページ単位でメモリと補助記憶間を入れ替え
パイプライン,流れ作業,命令実行を複数段階に分けて並列処理,Pipeline,命令の並列実行,スループット向上。ハザードに注意
RISC,縮小命令,単純な命令セットを持つプロセッサ,Reduced Instruction Set Computer,固定長命令,高速実行可能。レジスタ数が多い
CISC,複雑命令,複雑な命令セットを持つプロセッサ,Complex Instruction Set Computer,可変長命令,1命令で複雑な処理。x86が代表例
クロック周波数,動作速度,CPUの動作速度を表す周波数,Clock Frequency,Hz単位,1秒間のクロック数。高いほど高速
MIPS,命令実行速度,1秒間に実行できる命令数（百万単位）,Million Instructions Per Second,性能指標,CPUの処理能力を表す指標の一つ
CPI,命令あたりクロック,1命令の実行に必要な平均クロック数,Cycles Per Instruction,性能評価指標,小さいほど高性能。パイプラインで改善
スループット,処理能力,単位時間あたりの処理量,Throughput,処理量/時間,システム全体の処理能力を表す
ターンアラウンドタイム,総処理時間,ジョブの投入から完了までの時間,Turnaround Time,応答時間,待ち時間＋実行時間
レスポンスタイム,応答時間,要求を出してから応答が返るまでの時間,Response Time,対話的処理の指標,ユーザーの体感速度に影響
RAID,ディスクアレイ,複数のディスクを組み合わせて信頼性・性能を向上,Redundant Arrays of Independent Disks,RAID0～6,ストライピング・ミラーリング・パリティ
RAID0,ストライピング,データを分散して書き込み高速化,RAID0・ストライプ,冗長性なし,高速だが故障に弱い
