表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
ウォーターフォールモデル,滝のような開発,上流から下流へ順次進める開発モデル,Waterfall Model,後戻りしない,要件定義→設計→実装→テスト→運用の順次実行
アジャイル開発,機敏な開発,短期間の反復により柔軟に開発を進める手法,Agile Development,スプリント・イテレーション,変化に対応しながら段階的に開発。顧客との協調重視
スクラム,アジャルの一種,アジャイル開発の代表的なフレームワーク,Scrum,スプリント単位,プロダクトオーナー・スクラムマスター・開発チームで構成
スパイラルモデル,らせん状開発,プロトタイプを繰り返し改良する開発モデル,Spiral Model,リスク重視,リスク分析を重視。大規模システム向け
プロトタイピング,試作品作成,試作品を作って要件を確認する手法,Prototyping,使い捨て型・進化型,早期に動作確認。要件の明確化に有効
RAD,高速開発,ツールを活用した高速アプリケーション開発,Rapid Application Development,CASEツール使用,短期間での開発を重視。プロトタイピングを活用
DevOps,開発と運用の融合,開発チームと運用チームが協力する文化・手法,Development & Operations,継続的デリバリー,開発から運用までを一体化。自動化を推進
CI/CD,継続的統合・配信,コードの統合とデプロイを自動化,Continuous Integration/Delivery,Jenkins・GitLab CI,頻繁な統合とリリースで品質向上
WBS,作業分解構成図,プロジェクトの作業を階層的に分解した図,Work Breakdown Structure,成果物ベース,作業を管理可能な単位まで分解。工数見積の基礎
ガントチャート,工程表,作業の開始・終了を横棒で表した図,Gantt Chart,時間軸表示,プロジェクトの進捗を視覚的に管理
PERT図,矢線図,作業の順序関係を矢印で表した図,Program Evaluation and Review Technique,ネットワーク図,作業の依存関係を明確化。所要時間を算出
クリティカルパス,最長経路,プロジェクト全体の最短完了時間を決める経路,Critical Path,余裕時間ゼロ,この経路の遅れが全体の遅れに直結
アローダイアグラム,矢線図法,作業を矢線で表すネットワーク図,Arrow Diagram・ADM,ダミー作業あり,PERTの一種。作業の前後関係を表現
マイルストーン,重要な節目,プロジェクトの重要な中間目標点,Milestone,チェックポイント,進捗確認の基準点。成果物の完成時点
EVM,進捗の定量管理,コストと進捗を統合的に管理する手法,Earned Value Management,PV・EV・AC,計画値・実績値・実コストで進捗を数値化
ファンクションポイント法,機能規模測定,ソフトウェアの機能量から規模を見積もる,Function Point・FP,入出力・ファイル数,機能の複雑さと数から工数を算出
COCOMO,工数見積モデル,ソースコード行数から工数を見積もる,Constructive Cost Model,基本・中間・詳細,経験的データに基づく見積もりモデル
リスク管理,不確実性への対処,プロジェクトのリスクを識別・分析・対応,Risk Management,回避・転嫁・軽減・受容,リスクマトリクスで優先順位付け
品質管理,品質の確保,成果物の品質を計画・保証・管理,Quality Management,QC・QA,品質計画・品質保証・品質管理の3要素
