表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
共通鍵暗号方式,暗号化と復号で同じ鍵,送信者と受信者で同じ鍵を使用する暗号方式,秘密鍵暗号方式,DES・AES・RC4など,暗号化と復号に同一の鍵を使用。事前の鍵共有が必要で、鍵管理が課題
公開鍵暗号方式,暗号化と復号で異なる鍵,公開鍵と秘密鍵のペアを使用する暗号方式,非対称鍵暗号方式,RSA・楕円曲線暗号,誰でも使える公開鍵と、本人だけが持つ秘密鍵のペアを使用。鍵配送問題を解決
AES,現在の標準共通鍵暗号,128/192/256ビットの鍵長を持つ共通鍵暗号方式,Advanced Encryption Standard,Rijndael暗号が採用,DESの後継として採用された米国標準暗号。ブロック長128ビット
RSA,素因数分解の困難性,大きな素数の積の素因数分解の困難性を利用した公開鍵暗号,RSA暗号,Rivest-Shamir-Adleman,最も広く使用される公開鍵暗号。デジタル署名にも利用可能
DES,旧標準共通鍵暗号,56ビットの鍵長を持つ共通鍵暗号方式,Data Encryption Standard,現在は安全でない,1977年に米国標準となった暗号。鍵長が短く現在は使用推奨されない
ハッシュ関数,一方向性関数,任意長のデータから固定長のハッシュ値を生成する関数,メッセージダイジェスト,MD5・SHA-256・SHA-512,データの改ざん検知や電子署名に使用。逆変換は計算量的に困難
SHA-256,256ビットハッシュ値,256ビットのハッシュ値を生成するハッシュ関数,Secure Hash Algorithm 256,SHA-2ファミリー,ビットコインなどでも使用される安全なハッシュ関数
デジタル署名,電子的な印鑑,送信者の本人性と内容の完全性を保証する技術,電子署名,秘密鍵で署名・公開鍵で検証,文書のハッシュ値を秘密鍵で暗号化。改ざん検知と否認防止を実現
PKI,公開鍵基盤,公開鍵暗号を使用するための基盤技術,Public Key Infrastructure,認証局・証明書,デジタル証明書を使って公開鍵の正当性を保証する仕組み
認証局,証明書発行機関,デジタル証明書を発行・管理する信頼できる第三者機関,CA（Certificate Authority）,ルートCA・中間CA,公開鍵とその所有者を結びつける証明書を発行
SSL/TLS,暗号化通信プロトコル,WebブラウザとWebサーバ間の暗号化通信プロトコル,Secure Sockets Layer/Transport Layer Security,HTTPS通信,証明書による認証と通信の暗号化を提供。HTTPSの基盤技術
HTTPS,暗号化されたHTTP,SSL/TLSを使用した安全なHTTP通信,HTTP Secure,ポート443,HTTP通信をSSL/TLSで暗号化。URLは https:// で始まる
ファイアウォール,防火壁,ネットワークの境界で不正アクセスを防ぐ機器・ソフトウェア,FW,パケットフィルタリング,内部ネットワークを外部の脅威から保護。通信の許可/拒否を制御
IDS,侵入検知システム,ネットワークやシステムへの侵入を検知するシステム,Intrusion Detection System,シグネチャ型・アノマリ型,不正アクセスや異常な通信を検知して管理者に通知
IPS,侵入防止システム,侵入を検知して自動的に防御するシステム,Intrusion Prevention System,IDSの進化版,不正な通信を検知すると自動的に遮断。能動的な防御が可能
WAF,Webアプリ防御,Webアプリケーションの脆弱性を狙った攻撃を防ぐ,Web Application Firewall,SQLインジェクション対策,Webアプリケーション層の攻撃を防御。シグネチャベースで動作
VPN,仮想専用線,インターネット上に仮想的な専用線を構築する技術,Virtual Private Network,IPsec・SSL-VPN,暗号化により安全な通信路を確立。リモートアクセスに使用
IPsec,IP層の暗号化,ネットワーク層で暗号化通信を実現するプロトコル,IP Security,AH・ESP・IKE,VPNの実装に使用。トンネルモード・トランスポートモード
SQLインジェクション,SQL文の不正挿入,Webアプリに不正なSQL文を注入する攻撃,SQLi,データベース攻撃,入力値検証不備を悪用。プリペアードステートメントで対策
XSS,スクリプト挿入攻撃,悪意のあるスクリプトをWebページに埋め込む攻撃,クロスサイトスクリプティング,反射型・格納型・DOM型,JavaScriptなどを注入。エスケープ処理で対策
CSRF,リクエスト強要,ユーザの意図しない操作を強制的に実行させる攻撃,クロスサイトリクエストフォージェリ,ワンタイムトークンで対策,認証済みユーザの権限を悪用。トークンによる対策が有効
DoS攻撃,サービス妨害攻撃,大量のアクセスでサービスを停止させる攻撃,Denial of Service,単一攻撃元,サーバに過負荷をかけてサービスを妨害
DDoS攻撃,分散DoS攻撃,複数の攻撃元から同時にDoS攻撃を行う,Distributed DoS,ボットネット利用,多数のコンピュータから一斉攻撃。防御が困難
マルウェア,悪意のあるソフト,コンピュータに害を与える悪意のあるソフトウェアの総称,Malicious Software,ウイルス・ワーム・トロイの木馬,システムに侵入して破壊活動や情報窃取を行う
ランサムウェア,身代金要求型,ファイルを暗号化して身代金を要求するマルウェア,Ransomware,WannaCry・Petya,データを人質に金銭を要求。定期的なバックアップが重要
フィッシング,偽サイト詐欺,偽のWebサイトやメールで個人情報を詐取する手法,Phishing,なりすまし詐欺,正規サイトに見せかけてIDやパスワードを盗む
標的型攻撃,特定組織狙い,特定の組織を狙った計画的なサイバー攻撃,APT（Advanced Persistent Threat）,持続的標的型攻撃,長期間潜伏して情報を窃取。スピアフィッシングなどを使用
