表面の単語,表面のヒント,表面の説明,裏面の単語,裏面のヒント,裏面の説明
SWOT分析,強み弱み分析,企業の強み・弱み・機会・脅威を分析,SWOT Analysis,Strengths・Weaknesses・Opportunities・Threats,内部環境と外部環境を分析して戦略立案
PPM,製品管理マトリクス,事業や製品を市場成長率とシェアで分類,Product Portfolio Management,花形・金のなる木・問題児・負け犬,BCGマトリクス。資源配分の意思決定に使用
BSC,バランススコアカード,4つの視点から業績を評価する手法,Balanced Scorecard,財務・顧客・業務・学習,戦略を可視化して実行管理
KGI,重要目標達成指標,最終的な目標の達成度を測る指標,Key Goal Indicator,経営目標の指標,売上高・利益率など最終ゴール
KPI,重要業績評価指標,目標達成のプロセスを測る指標,Key Performance Indicator,中間目標の指標,KGI達成のための先行指標
CSF,重要成功要因,経営目標達成のために重要な要因,Critical Success Factor,成功の鍵,KPIを設定する際の基準
コアコンピタンス,中核能力,他社が模倣困難な自社の中核的能力,Core Competence,競争優位の源泉,技術力・ノウハウなど独自の強み
ベンチマーキング,優良事例研究,優れた他社の手法を学んで改善,Benchmarking,ベストプラクティス,業界リーダーの手法を分析・導入
BPR,業務プロセス再設計,業務プロセスを根本的に見直し再設計,Business Process Re-engineering,抜本的改革,既存の枠組みを超えた革新的改善
BPM,業務プロセス管理,業務プロセスを継続的に改善する管理手法,Business Process Management,PDCAサイクル,プロセスの可視化・分析・改善
SCM,供給連鎖管理,調達から販売まで供給連鎖全体を最適化,Supply Chain Management,サプライチェーン,在庫削減・リードタイム短縮
CRM,顧客関係管理,顧客との関係を管理し顧客満足度向上,Customer Relationship Management,顧客中心経営,顧客データベースで個別対応
ERP,統合基幹業務システム,企業の基幹業務を統合管理するシステム,Enterprise Resource Planning,経営資源計画,会計・人事・生産・販売を統合
SFA,営業支援システム,営業活動を支援し効率化するシステム,Sales Force Automation,営業の自動化,顧客情報・商談履歴を一元管理
BI,ビジネスインテリジェンス,経営データを分析して意思決定支援,Business Intelligence,データ分析ツール,データウェアハウス・OLAP・データマイニング
RPA,業務自動化,定型業務をソフトウェアロボットで自動化,Robotic Process Automation,デジタルレイバー,人間の操作を模倣して自動実行
M&A,企業買収・合併,企業の合併や買収による事業拡大,Mergers and Acquisitions,TOB・MBO,シナジー効果を狙う経営戦略
アライアンス,企業提携,複数企業が協力して事業を行う提携,Alliance,戦略的提携,技術提携・販売提携・資本提携
CSR,企業の社会的責任,企業が社会に対して果たすべき責任,Corporate Social Responsibility,ステークホルダー重視,環境保護・社会貢献・コンプライアンス
コーポレートガバナンス,企業統治,企業経営を監視・統制する仕組み,Corporate Governance,内部統制,取締役会・監査役による経営監視
コンプライアンス,法令遵守,法令や社会規範を守ること,Compliance,企業倫理,内部統制の重要要素
内部統制,経営管理体制,業務の適正を確保する体制,Internal Control,J-SOX法対応,財務報告の信頼性確保
リスクマネジメント,危機管理,企業のリスクを管理し損失を最小化,Risk Management,リスクの特定・評価・対処,事業継続性の確保
